reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,content_translated,content_case_folding
66ddf622-3bd3-48fc-b4e7-876c2d892160,Boy's,https://play-lh.googleusercontent.com/a/ACg8ocJF1kaGxknTr_vRAssiIMZ5M_E0x5XPSXO9pBBxvjSCP2ITsw=mo,"apk tolol nyari vidio g bisa nonton vidio layar item mahal"" doang bayar mending dowload netflik",1,0,,2025-03-02 05:12:02,,,,"stupid apk looking for videos that can watch expensive black screens ""just pay for the download netflik","stupid apk looking for videos that can watch expensive black screens ""just pay for the download netflik"
69a745b6-f6c3-47b5-befc-1e3b07687fe4,Birrul Alim,https://play-lh.googleusercontent.com/a/ACg8ocKdfoUVAdxrx6EByu9Vs0DCN13Na9zjGdc8UDLsEP78DBjVSQ=mo,Aplikasinya jelek pas login udh pasang nomor telepon malah gk bisa katanya nomornya sama negaranya gk cocok ah emang aplikasi gk berguna buat gw bikin puasa gw batak aja,1,0,25.01.20.9,2025-03-02 05:00:18,"Hai, mohon maaf atas ketidaknyamannya. Mohon kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor telepon yang terdaftar di Disney+ Hotstar, detail perangkat (merek, model, versi OS), versi aplikasi, nama penyedia internet, dan foto error yang dialami sehingga kami dapat membantu kamu. Terima kasih.",2025-03-02 09:12:49,25.01.20.9,"The application is bad when logging in, the phone number can not even say the number is the same as the country is not suitable ah, the application is not useful for me to make my fasting Batak","the application is bad when logging in, the phone number can not even say the number is the same as the country is not suitable ah, the application is not useful for me to make my fasting batak"
8087ff6b-ff63-4917-b456-f1cf02a68fca,Elsye Cinthia,https://play-lh.googleusercontent.com/a/ACg8ocJBiF4syvHkMNv88PL5xol9uNciANh5j-ZUrp7AE0D9lsVLmOk=mo,"Ini aplikasi apaan sih, udh hapus download masih aja gak mau kebuka sama sekali filmnya",1,0,25.01.20.9,2025-03-02 02:11:54,"Hai! Mohon maaf atas ketidaknyamannya. Mohon kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor ponsel langganan kamu, detail perangkat (make / model), versi OS & versi aplikasi/web browser, nama konten dan tangkapan layar dari kendala yang dialami sehingga kami dapat membantu kamu. Terima kasih.",2025-03-02 07:32:29,25.01.20.9,"What is this application, it's already deleted the download, I still don't want to open the film at all","what is this application, it's already deleted the download, i still don't want to open the film at all"
edbc7f80-5bae-4e91-aa61-3468135cada2,BSK. HASAN ST,https://play-lh.googleusercontent.com/a/ACg8ocJZ8OwXBHHcnsFo2dRz8kNGZxqPrOy01_kYolzj3QfYBQ4tFg=mo,Agak kurang menarik,4,0,,2025-03-02 01:53:06,,,,Somewhat less attractive,somewhat less attractive
4500de51-7655-4668-88c6-a096d22d6ca3,Hshbsbb Hshbsbbbsbsjj,https://play-lh.googleusercontent.com/a/ACg8ocLYI8XwE60IcVw_-YVB1-wN2yMUf9KYf8WfAOgmqlQBTtbH1w=mo,gw kira gratis tapi berbayar mending unistal,1,0,25.01.20.9,2025-03-01 17:14:15,,,25.01.20.9,I think it's free but paid for a unistal,i think it's free but paid for a unistal
6cc09009-f82e-4821-861d-7853127cae0d,desika erna,https://play-lh.googleusercontent.com/a/ACg8ocIMHkqdnIX0XKeYbXQmKor-JfTwUEI3SCwi5TK1kIMStzacGqSG=mo,"Saya mulai langganan tanggal 4 Februari, tapi tanggal 27 Februari tiba-tiba saldo kepotong sebanyak langganan 1 bulan. Padahal belum jatuh tempo, kemudian sekarang di apk diberitahu kalau harus memperbarui langganan lagi. Double dong jadinya, misal 1 bulan harusnya potongan saldo saat tanggal 4 Maret besok, bukan 27 Februari. Tolong diperbaiki lagi.",4,1,25.01.20.9,2025-03-01 15:30:24,,,25.01.20.9,"I began to subscribe on February 4, but on 27 February suddenly the balance of pieces as much as 1 month subscription.Even though it hasn't matured, then now at the APK it is told that you have to renew the subscription again.Double, so, for example 1 month should be discounted on the balance on March 4 tomorrow, not February 27.Please fix it again.","i began to subscribe on february 4, but on 27 february suddenly the balance of pieces as much as 1 month subscription.even though it hasn't matured, then now at the apk it is told that you have to renew the subscription again.double, so, for example 1 month should be discounted on the balance on march 4 tomorrow, not february 27.please fix it again."
35b845ef-5ec4-456b-a136-1696c1f80268,nadhifa herna.u,https://play-lh.googleusercontent.com/a-/ALV-UjUtd3Y2c9m5Ny4to9xzsXCUrIkHxrbi9evNI0rAhOiVQkTek2w,"jelek, aku mau nonton dari tv padahal udah dimatiin yang di hp tapi gabisa katanya gabisa lebih dari 2 perangkat padahal yang hp udah mati trus aku sampe pake daya mati berkali kali tetep gabisa, disney jelek bgt pls padahal ekspektasinya tinggi",1,0,25.01.20.9,2025-03-01 15:07:03,,,25.01.20.9,"Ugly, I want to watch from TV even though it's been turned off on the cellphone but it can't be said that it can't be more than 2 devices even though the cellphone has died and then I use the power to die many times still can't, Disney is bad, even though the expectations are high","ugly, i want to watch from tv even though it's been turned off on the cellphone but it can't be said that it can't be more than 2 devices even though the cellphone has died and then i use the power to die many times still can't, disney is bad, even though the expectations are high"
ea65dffd-af91-4ed8-845c-db81a6e360ca,dot null,https://play-lh.googleusercontent.com/a-/ALV-UjWc3pS_9ZL9Sk4ipyZg7eQn5ePwsCITYdJPgbeDxETSmx6xV5Ry,kebanyakan film lawas -_ terbaru kurang cepat update,1,0,25.01.20.9,2025-03-01 13:59:43,,,25.01.20.9,Most old films -_ Latest Not Fast Update,most old films -_ latest not fast update
059072a6-20f0-4379-92a7-7536f31d7188,Aliyah Mahira,https://play-lh.googleusercontent.com/a-/ALV-UjUk4mmqF29ER7jljADoc4pAkCY3BSLppf0VKjiP5oXFNWM_hK3-,masa toy story harus bayar bulanan???mahal banget lagi,1,0,,2025-03-01 05:02:05,,,,how come toy stories have to pay monthly ??? really expensive again,how come toy stories have to pay monthly ??? really expensive again
e3f28def-52a9-4dc8-bbe3-bb10b60196f7,Septian Utama,https://play-lh.googleusercontent.com/a-/ALV-UjXRcck6WwW4HhP5ZvUkaNKBxQesVBS97SKkWP4nx9Ph6BCDRIb-,"Yaelah gimana sih udah complain sana sini , gak di tanggapin sama sekali aplikasi gak di perbarui payah, padahal banyak banget bug nya salah satunya udah berlangganan tetapi tidak bisa menonton di aplikasinya payah, sekelas disney kayak gini gimna mau bersaing",1,0,25.01.20.9,2025-02-28 22:46:24,"Hai Septian, mohon maaf atas ketidaknyamanannya. Mohon kirimkan email kepada kami di disneyplus.id@hotstar.com dengan nomor telepon langganan kamu, detail perangkat (merek, model & versi OS), versi Aplikasi Disney+ Hotstar, nama konten, nama penyedia jaringan internet, dan screenshot kendala yang dialami sehingga kami dapat membantu. Terima kasih.",2025-03-01 09:58:18,25.01.20.9,"Yes, how do you complain here and there, not at all the applications are not renewed, even though there are so many bugs, one of which has subscribed but can't watch the application is bad, Disney classmates like this, I want to compete","yes, how do you complain here and there, not at all the applications are not renewed, even though there are so many bugs, one of which has subscribed but can't watch the application is bad, disney classmates like this, i want to compete"
